slot, allocate quality, display quality,pose,delay, throughput, video size
222,3,3,(0 0 -0.8888092 14.244766),0.0,0.0,0
223,3,3,(0 0 -0.8995209 14.031677),0.0,0.0,0
224,3,3,(0 0 -0.91023254 13.818573),0.0,0.0,0
225,3,3,(0 0 -0.9030304 13.690155),0.0,0.0,0
226,3,3,(0 0 -0.895813 13.561737),0.0,0.0,0
227,3,3,(0 0 -0.9731293 13.430481),0.0,0.0,0
228,3,3,(0 0 -1.028183 13.317871),0.0,0.0,0
229,3,3,(0 0 -1.0832214 13.205246),0.0,0.0,0
230,3,3,(0 0 -1.1260529 13.232681),0.0,0.0,0
231,3,3,(0 0 -1.1928558 13.2621155),0.0,0.0,0
232,3,3,(0 0 -1.2596588 13.291565),0.0,0.0,0
233,3,3,(0 0 -1.3165894 13.353149),0.0,0.0,0
234,3,3,(0 0 -1.3146973 13.476547),0.0,0.0,0
235,3,3,(0 0 -1.3128052 13.59996),0.0,0.0,0
236,3,3,(0 0 -1.2850952 13.887421),0.0,0.0,0
237,3,3,(0 0 -1.2441254 14.383087),0.0,0.0,0
238,3,3,(0 0 -1.2031403 14.878754),0.0,0.0,0
239,3,3,(0 0 -1.1831665 15.7486725),0.0,0.0,0
240,3,3,(0 0 -1.219223 16.691391),0.0,0.0,0
241,3,3,(0 0 -1.2224121 17.61705),0.0,0.0,0
242,3,3,(0 0 -1.2475281 18.554092),0.0,0.0,0
243,3,3,(0 0 -1.1760406 19.334457),0.0,0.0,0
244,3,3,(0 0 -1.1147614 20.074173),0.0,0.0,0
245,3,3,(0 0 -1.053482 20.813904),0.0,0.0,0
246,3,3,(0 0 -1.0393524 21.531906),0.0,0.0,0
247,3,3,(0 0 -1.0941467 22.337738),0.0,0.0,0
248,3,3,(0 0 -1.148941 23.14357),0.0,0.0,0
249,3,3,(0 0 -1.2782288 23.978989),0.0,0.0,0
250,3,3,(0 0 -1.3882446 24.84259),0.0,0.0,0
251,3,3,(0 0 -1.4982605 25.706192),0.0,0.0,0
252,3,3,(0 0 -1.5654755 26.529434),0.0,0.0,0
253,3,3,(0 0 -1.5792694 27.31372),0.0,0.0,0
254,3,3,(0 0 -1.5930634 28.098007),0.0,0.0,0
255,3,3,(0 0 -1.5590668 28.712662),0.0,0.0,0
256,3,3,(0 0 -1.5264587 29.350113),0.0,0.0,0
257,3,3,(0 0 -1.4938507 29.987549),0.0,0.0,0
258,3,3,(0 0 -1.4029694 30.630936),0.0,0.0,0
259,3,3,(0 0 -1.3648376 31.2724),0.0,0.0,0
260,3,3,(0 0 -1.3266907 31.913864),0.0,0.0,0
261,3,3,(0 0 -1.2518616 32.52478),0.0,0.0,0
262,3,3,(0 0 -1.2279205 33.142807),0.0,0.0,0
263,3,3,(0 0 -1.2039795 33.76082),0.0,0.0,0
264,3,3,(0 0 -1.0905609 34.461823),0.0,0.0,0
265,3,3,(0 0 -0.9879608 35.114334),0.0,0.0,0
266,3,3,(0 0 -0.88534546 35.766846),0.0,0.0,0
267,3,3,(0 0 -0.8752594 36.54979),0.0,0.0,0
268,3,3,(0 0 -0.89738464 37.30298),0.0,0.0,0
269,3,3,(0 0 -0.9194946 38.056168),0.0,0.0,0
270,3,3,(0 0 -0.92092896 38.75528),0.0,0.0,0
271,3,3,(0 0 -0.8514252 39.4711),0.0,0.0,0
272,3,3,(0 0 -0.7819214 40.186935),0.0,0.0,0
273,3,3,(0 0 -0.69773865 41.017868),0.0,0.0,0
274,3,3,(0 0 -0.7110901 41.838806),0.0,0.0,0
275,3,3,(0 0 -0.7244415 42.65976),0.0,0.0,0
276,3,3,(0 0 -0.7251587 43.38388),0.0,0.0,0
277,3,3,(0 0 -0.7597656 44.10675),0.0,0.0,0
278,3,3,(0 0 -0.7943878 44.829605),0.0,0.0,0
279,3,3,(0 0 -0.97242737 45.63365),0.0,0.0,0
280,3,3,(0 0 -1.1050415 46.288116),0.0,0.0,0
281,3,3,(0 0 -1.2376556 46.942596),0.0,0.0,0
282,3,3,(0 0 -1.2789459 47.698837),0.0,0.0,0
283,3,3,(0 0 -1.3146667 48.36551),0.0,0.0,0
284,3,3,(0 0 -1.3106232 49.046143),0.0,0.0,0
285,3,3,(0 0 -1.3065643 49.72679),0.0,0.0,0
286,3,3,(0 0 -1.3023834 50.522903),0.0,0.0,0
287,3,3,(0 0 -1.352417 51.41394),0.0,0.0,0
288,3,3,(0 0 -1.4024506 52.304962),0.0,0.0,0
289,3,3,(0 0 -1.4477844 53.256958),0.0,0.0,0
290,3,3,(0 0 -1.433197 54.312653),0.0,0.0,0
291,3,3,(0 0 -1.4186096 55.368347),0.0,0.0,0
292,3,3,(0 0 -1.404007 56.42404),0.0,0.0,0
293,3,3,(0 0 -1.450119 57.300568),0.0,0.0,0
294,3,3,(0 0 -1.4409027 58.197662),0.0,0.0,0
295,3,3,(0 0 -1.464508 58.97043),0.0,0.0,0
296,3,3,(0 0 -1.4554749 59.751633),0.0,0.0,0
297,3,3,(0 0 -1.4464569 60.532837),0.0,0.0,0
298,3,3,(0 0 -1.493866 61.05606),0.0,0.0,0
299,3,3,(0 0 -1.5506744 61.504425),0.0,0.0,0
300,3,3,(0 0 -1.6074677 61.95279),0.0,0.0,0
301,3,3,(0 0 -1.6000214 62.355255),0.0,0.0,0
302,3,3,(0 0 -1.590271 62.78798),0.0,0.0,0
303,3,3,(0 0 -1.5805359 63.220703),0.0,0.0,0
304,3,3,(0 0 -1.548172 63.665848),0.0,0.0,0
305,3,3,(0 0 -1.5596466 64.10858),0.0,0.0,0
306,3,3,(0 0 -1.571106 64.55133),0.0,0.0,0
307,3,3,(0 0 -1.536438 65.01544),0.0,0.0,0
308,3,3,(0 0 -1.5342712 65.567444),0.0,0.0,0
309,3,3,(0 0 -1.5321045 66.11948),0.0,0.0,0
310,3,3,(0 0 -1.5215149 66.8291),0.0,0.0,0
311,3,3,(0 0 -1.5000763 67.50331),0.0,0.0,0
312,3,3,(0 0 -1.4786377 68.177536),0.0,0.0,0
313,3,3,(0 0 -1.3399811 68.97734),0.0,0.0,0
314,3,3,(0 0 -1.2607269 69.80403),0.0,0.0,0
315,3,3,(0 0 -1.2410431 70.65135),0.0,0.0,0
316,3,3,(0 0 -1.2213593 71.49867),0.0,0.0,0
