quality,ts,
15,20085886,
15,15623281,
15,15832239,
15,19736875,
15,15540313,
15,15794948,
15,17001250,
15,16473333,
15,14985260,
15,14882500,
15,16228646,
15,20301458,
15,15713855,
15,18445312,
15,13931458,
15,14674479,
15,16512604,
15,14859010,
15,13477813,
15,15524792,
15,15883854,
15,18058959,
15,16151198,
15,14710365,
15,15250156,
15,20953959,
15,19921666,
15,16196666,
15,14143333,
15,19346042,
15,14256823,
15,20516250,
15,15060156,
15,16182864,
15,15705990,
15,21841718,
15,14607969,
15,15265364,
15,14747552,
15,15058958,
15,14662709,
15,14943750,
15,16302865,
15,19563490,
15,15103073,
15,16313438,
15,13166459,
15,15512292,
15,24071250,
15,14865938,
15,19946979,
15,15767239,
15,16872032,
15,19536719,
15,18690990,
15,17837500,
15,19045469,
15,19267969,
15,18353541,
15,16500625,
15,18050313,
15,15667136,
15,14798594,
15,17627343,
15,18661042,
15,15859948,
15,16118750,
15,14036354,
15,16357239,
15,16007917,
15,14198802,
15,15563959,
15,15307916,
15,14998125,
15,24827135,
15,16067500,
15,18172448,
15,22328125,
15,15838438,
15,16847760,
15,15749948,
15,16365782,
15,18674583,
15,14917605,
15,14951980,
15,14847448,
15,16311458,
15,16313021,
15,14564062,
15,18351458,
15,16048959,
15,15746250,
15,21310417,
15,17201042,
15,19135052,
15,20363177,
15,15918646,
15,15067969,
15,16128073,
15,15386667,
15,15064532,
15,15139375,
15,15346666,
15,16340416,
15,14748854,
15,14075053,
15,18200052,
15,16816615,
15,14337708,
15,18784323,
15,14215937,
15,16629948,
15,17797657,
15,17370104,
15,17279062,
15,18750885,
15,15486979,
15,13976927,
15,17207656,
15,16359428,
15,17192188,
15,13986562,
15,16052761,
15,14151354,
15,16598645,
15,14605365,
15,14887396,
15,19430156,
15,14495208,
15,14520260,
15,14618594,
15,17274375,
15,17400521,
15,14803802,
15,21783698,
15,16831041,
15,17088021,
15,16832969,
15,14991250,
15,13488229,
15,16296406,
15,17042760,
15,15256094,
15,15997240,
15,15579062,
15,16138906,
15,14347292,
15,18595782,
15,20106666,
15,18557969,
15,18813854,
15,15054063,
15,15139323,
15,16773229,
15,17987760,
15,16185209,
15,15880937,
15,14388958,
15,13639114,
15,16656979,
15,18079792,
15,26423593,
15,14332760,
15,13840104,
15,15753750,
15,15067292,
15,20105781,
15,14871822,
15,14900416,
15,16517135,
15,15351042,
15,15081354,
15,13892032,
15,19970469,
15,16581614,
15,15806979,
15,15539219,
15,16955677,
15,16157292,
15,14537135,
15,14710052,
15,16509062,
15,15154219,
15,16254739,
15,16704583,
15,15462344,
15,21449010,
15,16878802,
15,14450521,
15,14241927,
15,14228594,
15,15620834,
15,14785573,
15,14669167,
15,15861511,
15,15568854,
15,14864479,
15,16442344,
15,19630781,
15,20343594,
15,16998385,
15,18188489,
15,17074063,
15,17133020,
15,14984740,
15,16125625,
15,22210156,
15,21839166,
15,20820000,
15,17390833,
15,19658750,
15,14696666,
15,13929791,
15,15201355,
15,14947708,
15,15834843,
15,15431094,
15,15137916,
15,20224479,
15,15717604,
15,16756459,
15,14797656,
15,15824323,
15,14818177,
15,16776979,
15,24594375,
15,19616562,
15,17290208,
15,15106511,
15,15488541,
15,18171250,
15,17428073,
15,16153125,
15,15229740,
15,18732240,
15,23207188,
15,15788542,
15,22205364,
15,18733281,
15,22905937,
15,20233542,
15,17306563,
15,15008802,
15,17143125,
15,16950937,
15,15757969,
15,14124896,
15,15340938,
15,13930937,
15,16582657,
15,14883073,
15,16476406,
15,15100000,
15,15150052,
15,15855000,
15,14839219,
15,14600938,
15,19099375,
15,16033854,
15,14541667,
15,14853177,
15,15760469,
15,14108438,
15,13386198,
15,16018125,
15,14353698,
15,14477656,
15,15723073,
15,19226093,
15,15179532,
15,14352761,
15,16314219,
15,15107239,
15,14820521,
15,20801614,
15,15691250,
15,19199740,
15,14033698,
15,16270364,
15,14520261,
15,17100052,
15,16045364,
15,15018282,
15,16663385,
15,15684739,
15,16041667,
15,19341563,
15,14788229,
15,14555104,
15,14166198,
15,16933386,
