39,57359427,,,,,
26,17515625,,,,,,
26,17291771,,,,,,
26,18367239,,,,,,
26,17517135,,,,,,
26,15210104,,,,,,
26,16399635,,,,,,
26,19874896,,,,,,
26,17633177,,,,,,
26,18525730,,,,,,
26,20326406,,,,,,
26,17451407,,,,,,
26,17004375,,,,,,
26,17262656,,,,,,
26,17154792,,,,,,
26,16448125,,,,,,
26,18447812,,,,,,
26,18292188,,,,,,
26,20396875,,,,,,
26,14128906,,,,,,
22,19275989,,,,,,
22,20293542,,,,,,
22,18614063,,,,,,
26,17146042,,,,,,
26,17906615,,,,,,
26,14920573,,,,,,
26,14006563,,,,,,
26,16997448,,,,,,
26,15953750,,,,,,
26,16419792,,,,,,
26,15905364,,,,,,
26,21364948,,,,,,
26,21293229,,,,,,
26,27034271,,,,,,
26,24528646,,,,,,
26,17107604,,,,,,
26,22120208,,,,,,
26,15496979,,,,,,
26,19257760,,,,,,
26,18090365,,,,,,
26,16769636,,,,,,
26,17325729,,,,,,
22,18246302,,,,,,
22,21453073,,,,,,
26,23452656,,,,,,
22,21532760,,,,,,
26,16523750,,,,,,
26,19067083,,,,,,
26,23718385,,,,,,
22,17562344,,,,,,
22,19867708,,,,,,
22,21953229,,,,,,
26,17146614,,,,,,
22,19793073,,,,,,
22,21712136,,,,,,
26,16593542,,,,,,
26,15759375,,,,,,
26,15573594,,,,,,
26,19156719,,,,,,
22,20627865,,,,,,
22,14971562,,,,,,
26,18814791,,,,,,
26,18691302,,,,,,
26,17895729,,,,,,
26,16837916,,,,,,
22,19686146,,,,,,
22,19960365,,,,,,
22,17674479,,,,,,
26,19807656,,,,,,
26,21760104,,,,,,
26,16136875,,,,,,
26,13893489,,,,,,
22,19521458,,,,,,
22,20106197,,,,,,
22,19579688,,,,,,
26,18828698,,,,,,
26,17188698,,,,,,
26,21312865,,,,,,
26,18481771,,,,,,
26,18279792,,,,,,
26,20944375,,,,,,
26,22749375,,,,,,
26,23531198,,,,,,
22,15287187,,,,,,
22,15546250,,,,,,
22,15625469,,,,,,
26,18870417,,,,,,
26,18160521,,,,,,
26,18691718,,,,,,
26,18426094,,,,,,
26,17485573,,,,,,
26,18275625,,,,,,
26,17788230,,,,,,
26,17273281,,,,,,
26,18281146,,,,,,
26,18084584,,,,,,
26,18060573,,,,,,
26,20822761,,,,,,
22,18833021,,,,,,
26,25298594,,,,,,
26,22277604,,,,,,
22,18166928,,,,,,
22,15894115,,,,,,
26,16450104,,,,,,
26,18724375,,,,,,
26,20453386,,,,,,
22,20881407,,,,,,
22,18251406,,,,,,
22,15866823,,,,,,
26,14129948,,,,,,
26,17131510,,,,,,
26,18229896,,,,,,
26,15892292,,,,,,
26,13883177,,,,,,
26,18696407,,,,,,
26,17150625,,,,,,
26,16992709,,,,,,
26,17269791,,,,,,
22,18644479,,,,,,
22,18229687,,,,,,
22,18938802,,,,,,
26,18072500,,,,,,
26,19342865,,,,,,
26,18153021,,,,,,
22,17445104,,,,,,
22,15776511,,,,,,
26,17702032,,,,,,
26,18965625,,,,,,
22,19390833,,,,,,
22,17987292,,,,,,
22,21023959,,,,,,
26,21604947,,,,,,
22,18939687,,,,,,
22,21712292,,,,,,
22,19684010,,,,,,
26,16867187,,,,,,
26,16342448,,,,,,
26,19700313,,,,,,
26,16120729,,,,,,
26,15282032,,,,,,
26,17823178,,,,,,
26,16974635,,,,,,
26,16880990,,,,,,
26,15634531,,,,,,
26,18234636,,,,,,
26,16780000,,,,,,
26,17487500,,,,,,
26,17764218,,,,,,
26,18115677,,,,,,
26,19013594,,,,,,
26,14279896,,,,,,
26,19349323,,,,,,
26,20053593,,,,,,
26,15061614,,,,,,
26,13661406,,,,,,
26,18845521,,,,,,
26,16465052,,,,,,
26,18612604,,,,,,
26,21720312,,,,,,
26,18242968,,,,,,
26,15208646,,,,,,
26,22652500,,,,,,
26,18463281,,,,,,
26,15980156,,,,,,
26,18086198,,,,,,
26,16126458,,,,,,
26,16116406,,,,,,
26,18001614,,,,,,
26,14481927,,,,,,
26,18588385,,,,,,
26,17538750,,,,,,
26,15407864,,,,,,
26,15014011,,,,,,
26,18062864,,,,,,
26,16180260,,,,,,
26,17182969,,,,,,
26,20973855,,,,,,
26,16886823,,,,,,
26,15609948,,,,,,
26,17529584,,,,,,
26,18225052,,,,,,
26,20948333,,,,,,
26,24229583,,,,,,
26,18199062,,,,,,
26,17964531,,,,,,
26,21259219,,,,,,
26,18251667,,,,,,
26,18642031,,,,,,
26,17970156,,,,,,
26,19866354,,,,,,
26,19432552,,,,,,
26,22954687,,,,,,
26,17192500,,,,,,
26,19391093,,,,,,
26,20097552,,,,,,
26,15365677,,,,,,
26,19414427,,,,,,
26,19884479,,,,,,
26,19798177,,,,,,
26,18849323,,,,,,
26,16900833,,,,,,
26,15980729,,,,,,
26,14165052,,,,,,
26,16023437,,,,,,
26,16556458,,,,,,
26,16992708,,,,,,
26,18695469,,,,,,
26,16868646,,,,,,
26,19261927,,,,,,
26,18820208,,,,,,
26,16596406,,,,,,
26,15815520,,,,,,
26,17401146,,,,,,
26,17215677,,,,,,
22,14839948,,,,,,
22,18542239,,,,,,
22,18838438,,,,,,
26,17711511,,,,,,
26,18646354,,,,,,
26,19158698,,,,,,
26,17165573,,,,,,
26,17108750,,,,,,
26,20146198,,,,,,
26,17419375,,,,,,
26,17644219,,,,,,
22,20512396,,,,,,
22,20406719,,,,,,
22,16874688,,,,,,
22,15657136,,,,,,
22,17805260,,,,,,
22,16759791,,,,,,
22,18366354,,,,,,
22,19597708,,,,,,
22,15491041,,,,,,
22,16254688,,,,,,
22,14755208,,,,,,
22,16740678,,,,,,
22,17094011,,,,,,
22,20135521,,,,,,
22,15085416,,,,,,
22,15013750,,,,,,
22,16515261,,,,,,
22,19774895,,,,,,
22,16567188,,,,,,
22,18534948,,,,,,
22,17216042,,,,,,
22,16935573,,,,,,
22,16949375,,,,,,
22,18350000,,,,,,
22,18629167,,,,,,
22,15794427,,,,,,
22,17416979,,,,,,
22,18406198,,,,,,
