429,6491
430,156352
431,123530
432,97841
433,77030
434,60963
435,38784
436,23125
437,14291
438,9856
439,6892
440,150723
441,118782
442,93603
443,73841
444,58666
445,36984
446,21959
447,12986
448,8888
449,6096
450,147040
451,115997
452,91908
453,72520
454,57367
455,36419
456,21882
457,13255
458,9039
459,6606
460,148269
461,116328
462,91708
463,71588
464,56193
465,35191
466,20806
467,13270
468,9139
469,6369
470,156964
471,124560
472,98453
473,77409
474,60938
475,38770
476,23164
477,14356
478,9899
479,6861
480,149076
481,117758
482,92918
483,73145
484,57762
485,36707
486,21777
487,13020
488,8732
489,6122
490,146722
491,115440
492,91082
493,71750
494,56681
495,35935
496,21698
497,13193
498,9078
499,6530
500,148003
501,116129
502,91080
503,71256
504,55860
505,35111
506,20488
507,13054
508,8908
509,6335
510,155355
511,123057
512,97078
513,76245
514,60223
515,38437
516,23114
517,14297
518,9845
519,6893
520,149111
521,117489
522,93339
523,73340
524,58155
525,36873
526,21881
527,13246
528,8844
529,6038
530,146096
531,115607
532,91193
533,71655
534,56825
535,36133
536,21630
537,13364
538,9139
539,6474
540,146634
541,115240
542,90438
543,70748
544,55579
545,34826
546,20631
547,12973
548,9008
549,6426
550,156372
551,123711
552,98057
553,77137
554,61230
555,38941
556,23571
557,14376
558,9999
559,6769
560,151531
561,119562
562,94015
563,74380
564,58746
565,37242
566,21949
567,13347
568,8896
569,6071
570,147854
571,116464
572,91464
573,72021
574,56960
575,36180
576,21525
577,13048
578,9163
579,6512
580,147608
581,116095
582,91225
583,71243
584,56186
585,34996
586,20572
587,12673
588,8982
589,6351
590,156767
591,124123
592,98239
593,77321
594,61361
595,38824
596,23411
597,14417
598,9976
599,6896
600,151985
601,120001
602,94353
603,74176
604,58812
605,36992
606,21632
607,13148
608,8924
609,6127
610,148208
611,116507
612,91639
613,71937
614,56725
615,35960
616,21491
617,13210
618,9125
619,6561
620,147289
621,116191
622,91213
623,70845
624,55847
625,34671
626,20541
627,12718
628,8991
629,6368
630,157602
631,124867
632,98836
633,77444
634,61439
635,38851
636,23359
637,14319
638,9837
639,6769
640,151519
